name,address,county,territory,phone,email,website,lat,lng,tags
ACO Technologies,"Hitchin Road, Meppershall, Shefford, SG17 5TE, United Kingdom",Bedfordshire,Midlands,01462816666,marketing@aco.co.uk,http://www.aco.co.uk/,52.0325813293457,-0.322380006313324,Manufacturer & Supplier
Andy Campbell Consulting,"Dower House, 2 Manor Gardens, Bradford on Avon, BA15 1FR, United Kingdom",Wiltshire,South,01225864331,andy@andycampbellconsulting.co.uk,http://www.andycampbellconsulting.co.uk,51.28950119018555,-2.291110038757324,"Manufacturer & Supplier, Service Provider"
Arbour Landscape Solutions,"8 Markham Close, Borehamwood, WD6 4PQ, United Kingdom",Hertfordshire,Midlands,02089536177,info@arbourlandscapesolutions.co.uk,http://www.arbourlandscapesolutions.co.uk,51.659488677978516,-0.28268998861312866,Manufacturer & Supplier
BHGS,"Crab Apple Way, Vale Park, Evesham, WR11 1GP, United Kingdom",Worcestershire,Midlands,01386444100,daniel@bhgsltd.co.uk,http://www.bhgsltd.co.uk,52.074981689453125,-1.935670018196106,"Manufacturer & Supplier, Service Provider"
Bosmere Products,"22/23 Cobham Way, Gatwick Ind Dist Centre, Gatwick Road, Crawley, RH10 9RX, United Kingdom",West Sussex,South,01293586200,sales@bosmere.com,http://www.bosmere.com,51.1408805847168,-0.16345000267028809,Manufacturer & Supplier
Thompson & Morgan,"Poplar Lane, Ipswich, IP8 3BU, United Kingdom",Suffolk,Midlands,,,http://www.thompson-morgan.com,52.04460144042969,1.0973999500274658,Manufacturer & Supplier
Briers,"Guild House, Station Road, Wincanton, BA9 9FE, United Kingdom",Somerset,South,01235424100,j.stobart@sgpuk.com,http://www.smartsolar.com,51.05342102050781,-2.413209915161133,Manufacturer & Supplier
Bulrush Horticulture,"Newferry Road, Bellaghy Magherafelt, BT45 8ND, United Kingdom",Londonderry,Northern Ireland,02879386555,bulrush@bulrush.co.uk,http://www.bulrush.co.uk,54.8207893371582,-6.459070205688477,"Landscaper, Manufacturer & Supplier, Retailer"
Burall Floraprint Ltd,"PO Box 29, Oldfield Lane, Wisbech, PE13 2TH, United Kingdom",Cambridgeshire,Midlands,01945461165,www.floraprint@burall.com,http://www.floramedia.co.uk,52.77642059326172,0.13446000218391418,Manufacturer & Supplier
Burgon and Ball,"Longham Business Centre, 168 Ringwood Road, Ferndown, BH22 9BU, United Kingdom",Dorset,South,01202684141,ruth.posey@burgonandball.com,http://www.burgonandball.com,50.7859001159668,-1.909850001335144,"Manufacturer & Supplier, Online Retailer"
Bury Hill Topsoil and Logs,"Bury Hill Landscape Supplies, Lower Broadbridge Farm, Billingshurst Road, Broadbridge Heath, Horsham, RH12 3LR, United Kingdom",West Sussex,South,01306877540,sales@buryhilltopsoil.com,https://www.buryhilltopsoilandlogs.co.uk/,51.07073974609375,-0.3734300136566162,Manufacturer & Supplier
CED,"2 Purdeys Way, Rochford, SS4 1NE, United Kingdom",Essex,South,01708867237,sales@ced.ltd.uk,https://www.cedstone.co.uk/,51.57550048828125,0.7189000248908997,Manufacturer & Supplier
CJS Display,"11 Vine Close, Cottingham, HU16 5RF, United Kingdom",East Riding of Yorkshire,North,01482844459,office@cjsdisplay.co.uk,http://www.cjsdisplay.co.uk,53.78644943237305,-0.4214699864387512,Manufacturer & Supplier
Composite Prime,"Unit K, Castlefields Industrial Estate, Castlefields Road, Bingley, BD16 2AG, United Kingdom",West Yorkshire,North,01134262770,hello@composite-prime.com,https://www.composite-prime.com/,53.860599517822266,-1.8509999513626099,Manufacturer & Supplier
